ID,Dlq_stat,amounts,obs_date,Dlq_days,Vertical1,Province1
F87,Current,1381.05,2014-06-30 12:00:00,NA,Vehicle,AB
F88,Current,2559.49,2014-06-30 12:00:00,NA,Vehicle,ON
F89,Current,672.79,2014-06-30 12:00:00,NA,Vehicle,ON
F90,Current,8195.25,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F91,Current,1161.12,2014-06-30 12:00:00,NA,Vehicle,ON
F92,Current,2987.57,2014-06-30 12:00:00,NA,Vehicle,BC
F93,Current,823.723,2014-06-30 12:00:00,NA,Vehicle,AB
F94,Current,824.872,2014-06-30 12:00:00,NA,Home Improvement,AB
F95,Current,263.898,2014-06-30 12:00:00,NA,Vehicle,AB
F96,Current,584.367,2014-06-30 12:00:00,NA,Vehicle,BC
F97,Current,598.043,2014-06-30 12:00:00,NA,Vehicle,BC
F98,Current,2190,2014-06-30 12:00:00,NA,Vehicle,AB
F99,Current,490.108,2014-06-30 12:00:00,NA,Vehicle,AB
F100,Current,2535.48,2014-06-30 12:00:00,NA,Vehicle,ON
F101,Current,155.973,2014-06-30 12:00:00,NA,Vehicle,AB
F102,Current,2805.65,2014-06-30 12:00:00,NA,Vehicle,AB
F103,Current,732.208,2014-06-30 12:00:00,NA,Home Improvement,AB
F104,Current,2932.71,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F105,Current,3716.26,2014-06-30 12:00:00,NA,Vehicle,BC
F106,Current,2112.64,2014-06-30 12:00:00,NA,Vehicle,ON
F107,Current,2485.32,2014-06-30 12:00:00,NA,Home Improvement,Other Provinces
F108,Current,940.038,2014-06-30 12:00:00,NA,Vehicle,BC
F109,Current,1489.08,2014-06-30 12:00:00,NA,Home Improvement,ON
F110,Current,6964.97,2014-06-30 12:00:00,NA,Vehicle,ON
F111,Current,2178.74,2014-06-30 12:00:00,NA,Vehicle,BC
F112,Current,6070.54,2014-06-30 12:00:00,NA,Vehicle,BC
F113,Current,2411.07,2014-06-30 12:00:00,NA,Vehicle,ON
F114,Current,0,2014-06-30 12:00:00,NA,Vehicle,BC
F115,Current,532.218,2014-06-30 12:00:00,NA,Vehicle,ON
F116,Current,1841.64,2014-06-30 12:00:00,NA,Vehicle,BC
F117,Current,755.173,2014-06-30 12:00:00,NA,Vehicle,BC
F118,Current,1318.26,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F119,Current,378.53,2014-06-30 12:00:00,NA,Home Improvement,ON
F120,Current,5123.39,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F121,Current,234.067,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F122,Current,1821.57,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F123,Current,7530.35,2014-06-30 12:00:00,NA,Home Improvement,ON
F124,Current,942.032,2014-06-30 12:00:00,NA,Vehicle,AB
F125,Current,3595.83,2014-06-30 12:00:00,NA,Vehicle,ON
F126,Current,1317.31,2014-06-30 12:00:00,NA,Home Improvement,ON
F127,Current,1078.96,2014-06-30 12:00:00,NA,Vehicle,AB
F128,Current,4165.88,2014-06-30 12:00:00,NA,Vehicle,BC
F129,Current,1563.91,2014-06-30 12:00:00,NA,Home Improvement,ON
F130,Current,907.525,2014-06-30 12:00:00,NA,Vehicle,BC
F131,Current,1657.13,2014-06-30 12:00:00,NA,Home Improvement,Other Provinces
F132,Current,926.29,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F133,Current,372.44,2014-06-30 12:00:00,NA,Home Improvement,Other Provinces
F134,Current,5055.91,2014-06-30 12:00:00,NA,Vehicle,AB
F135,Current,1966.09,2014-06-30 12:00:00,NA,Vehicle,BC
F136,Current,1634.5,2014-06-30 12:00:00,NA,Vehicle,Other Provinces
F137,Current,1833.51,2014-06-30 12:00:00,NA,Home Improvement,AB
F138,Current,1027.1,2014-06-30 12:00:00,NA,Vehicle,BC
F139,Current,25.9883,2014-06-30 12:00:00,NA,Home Improvement,ON
F140,Current,792.22,2014-06-30 12:00:00,NA,Home Improvement,Other Provinces
F141,Current,750.792,2014-06-30 12:00:00,NA,Vehicle,ON
F142,Current,2657.51,2014-06-30 12:00:00,NA,Vehicle,AB
F143,Current,1840.7,2014-06-30 12:00:00,NA,Vehicle,ON
F144,Current,229.107,2014-06-30 12:00:00,NA,Home Improvement,ON
